"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,1.00855693181080
-0.5,0,0.1,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,1.00855693181080
-0.5,0,0.1,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,1.00855693181080
-0.5,0,0.1,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,1.00855693181080
-0.5,0,0.1,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,1.00855693181080
-0.5,0,0.1,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,1.00855693181080
-0.4,0,0.1,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,1.00039665140736
-0.4,0,0.1,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,1.00039665140736
-0.4,0,0.1,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,1.00039665140736
-0.4,0,0.1,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,1.00039665140736
-0.4,0,0.1,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,1.00039665140736
-0.4,0,0.1,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,1.00039665140736
-0.3,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,1.02024809101425
-0.3,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,1.02024809101425
-0.3,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,1.02024809101425
-0.3,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,1.02024809101425
-0.3,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,1.02024809101425
-0.3,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,1.02024809101425
-0.2,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,1.01410134752115
-0.2,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,1.01410134752115
-0.2,0,0.1,0.1,12,146,146,3,147,149,2006.47826086957,2006.56521739130,1.01410134752115
-0.2,0,0.1,0.1,12,146,146,4,147,149,2006.47826086957,2006.56521739130,1.01410134752115
-0.2,0,0.1,0.1,12,146,146,5,147,149,2006.47826086957,2006.56521739130,1.01410134752115
-0.2,0,0.1,0.1,12,146,146,6,147,149,2006.47826086957,2006.56521739130,1.01410134752115
-0.1,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.899051741002674
-0.1,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.899051741002674
-0.1,0,0.1,0.1,12,146,146,3,147,149,2006.47826086957,2006.56521739130,0.899051741002674
-0.1,0,0.1,0.1,12,146,146,4,147,149,2006.47826086957,2006.56521739130,0.899051741002674
-0.1,0,0.1,0.1,12,146,146,5,147,149,2006.47826086957,2006.56521739130,0.899051741002674
-0.1,0,0.1,0.1,12,146,146,6,147,149,2006.47826086957,2006.56521739130,0.899051741002674
0,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.751312785409695
0,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.751312785409695
0,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,0.751312785409695
0,0,0.1,0.1,12,146,146,4,147,NA,2006.47826086957,NA,0.751312785409695
